Ma_lop,Ma_HP,Ten_HP,Khoi_luong,Buoi_so,Thu,Thoi_gian,BD,KT,Tuan,Phong,Can_TN,Loai_lop
129307,ET4550,Radiation and Electrical Safety in Medicine,2(2-1-0-4),1,6,1230-1455,1,3,1-8|10-17,D8-502,NULL,LT+BT
129308,ET4550,Radiation and Electrical Safety in Medicine,2(2-1-0-4),1,6,1505-1730,4,6,1-8|10-17,D8-502,NULL,LT+BT
129309,ET4571,Biomedical signal processing,2(2-0-1-4),1,2,1600-1730,5,6,1-8|10-17,D8-502,TN,LT+BT
713275,ET4571,Biomedical signal processing,2(2-0-1-4),1,6,0645-0910,645,910,7,Online,NULL,TN
713275,ET4571,Biomedical signal processing,2(2-0-1-4),2,6,0645-0910,645,910,12|17,C9-308B,NULL,TN
713276,ET4571,Biomedical signal processing,2(2-0-1-4),1,7,0645-0910,645,910,7,Online,NULL,TN
713276,ET4571,Biomedical signal processing,2(2-0-1-4),2,7,0645-0910,645,910,12|17,C9-308B,NULL,TN
713277,ET4571,Biomedical signal processing,2(2-0-1-4),1,2,0645-0910,645,910,8,Online,NULL,TN
713277,ET4571,Biomedical signal processing,2(2-0-1-4),2,2,0645-0910,645,910,13|16,C9-308B,NULL,TN
713278,ET4571,Biomedical signal processing,2(2-0-1-4),1,3,0645-0910,645,910,8,Online,NULL,TN
713278,ET4571,Biomedical signal processing,2(2-0-1-4),2,3,0645-0910,645,910,13|16,C9-308B,NULL,TN
713279,ET4571,Biomedical signal processing,2(2-0-1-4),1,4,0645-0910,645,910,8,Online,NULL,TN
713279,ET4571,Biomedical signal processing,2(2-0-1-4),2,4,0645-0910,645,910,13|16,C9-308B,NULL,TN
713280,ET4571,Biomedical signal processing,2(2-0-1-4),1,5,0645-0910,645,910,8,Online,NULL,TN
713280,ET4571,Biomedical signal processing,2(2-0-1-4),2,5,0645-0910,645,910,13|16,C9-308B,NULL,TN
713281,ET4571,Biomedical signal processing,2(2-0-1-4),1,6,0645-0910,645,910,8,Online,NULL,TN
713281,ET4571,Biomedical signal processing,2(2-0-1-4),2,6,0645-0910,645,910,13|16,C9-308B,NULL,TN
713282,ET4571,Biomedical signal processing,2(2-0-1-4),1,7,0645-0910,645,910,8,Online,NULL,TN
713282,ET4571,Biomedical signal processing,2(2-0-1-4),2,7,0645-0910,645,910,13|16,C9-308B,NULL,TN
129305,ET4591,Digital Image Processing,2(2-1-0-4),1,3,1230-1455,1,3,1-8|10-17,D8-502,NULL,LT+BT
129306,ET4591,Digital Image Processing,2(2-1-0-4),1,3,1505-1730,4,6,1-8|10-17,D8-503,NULL,LT+BT
129282,ET4611,Power electronics,2(2-1-0-4),1,2,0920-1145,4,6,1-8|10-17,D8-503,NULL,LT+BT
129310,ET4710,Mobile Application programming,2(2-1-0-4),1,3,1505-1730,4,6,1-8|10-17,D8-502,NULL,LT+BT
129311,ET4710,Mobile Application programming,2(2-1-0-4),1,3,1230-1455,1,3,1-8|10-17,D8-503,NULL,LT+BT
129312,ET4750,Digital media production and presentation engineering,2(2-1-0-4),1,6,1230-1455,1,3,1-8|10-17,D9-202,NULL,LT+BT
710392,ET4900,Bachelor Final Project,6(0-0-12-12),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710395,ET4900E,Bachelor Final Project,6(0-0-12-12),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710397,ET4911,Bachelor Final Project,6(0-0-12-12),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710399,ET4920,Bachelor of Science Research Project,8(0-0-16-32),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710401,ET4920E,Bachelor of Science Research Project,8(0-0-16-32),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710402,ET4921E,Bachelor of Science Research Project,8(0-0-16-32),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710400,ET4922,Bachelor of Science Research Project,8(0-0-16-32),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710403,ET5011,Graduation Practicum,3(0-0-6-6),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TTTN
710418,ET5020,Design Project III,3(0-0-6-6),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DA
710405,ET5026,Graduation Practicum,4(0-0-8-16),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TTTN
128332,ET5080E,Digital Design using VHDL,3(3-1-0-6),1,3,1230-1400,1,2,1-8|10-17,D8-402,NULL,LT+BT
128332,ET5080E,Digital Design using VHDL,3(3-1-0-6),2,6,1600-1730,5,6,1-8|10-17,D8-402,NULL,LT+BT
713760,ET5100E,Graduation Practicum,3(0-0-8-16),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TTTN
713761,ET5110E,Graduation Project,10(0-0-20-40),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710408,ET5111,Graduation Project,9(0-0-18-18),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
710413,ET5126,Final Project,10(0-0-20-40),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DATN
129299,ET5260,Satellite Navigation,3(3-1-0-6),1,6,0645-1005,1,4,1-8|10-17,D8-401,NULL,LT+BT
129300,ET5270,Remote Sensing and GIS,3(3-1-0-6),1,5,0645-1005,1,4,1-8|10-17,D5-501,NULL,LT+BT
129304,ET5270,Remote Sensing and GIS,3(3-1-0-6),1,2,1230-1550,1,4,1-8|10-17,D8-502,NULL,LT+BT
129301,ET5580,Medical equipment management,3(3-1-0-6),1,6,0645-1005,1,4,1-8|10-17,D8-407,NULL,LT+BT
